<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.06	04:00:00	1.13164	1.13204	1.13120	1.13190	1455	0	1
2022.01.06	05:00:00	1.13188	1.13188	1.13084	1.13149	1419	0	1
2022.01.06	06:00:00	1.13150	1.13162	1.13112	1.13120	1187	0	1
2022.01.06	07:00:00	1.13120	1.13121	1.13068	1.13089	1207	0	1
2022.01.06	08:00:00	1.13089	1.13090	1.12962	1.12972	1574	0	1
2022.01.06	09:00:00	1.12973	1.12974	1.12846	1.12896	3398	0	1
2022.01.06	10:00:00	1.12898	1.13095	1.12848	1.12940	4144	0	1
2022.01.06	11:00:00	1.12940	1.13084	1.12886	1.13055	2938	0	1
2022.01.06	12:00:00	1.13053	1.13269	1.13046	1.13125	3582	0	1
2022.01.06	13:00:00	1.13121	1.13216	1.13024	1.13134	3193	0	1
2022.01.06	14:00:00	1.13135	1.13187	1.13047	1.13131	4036	0	1
2022.01.06	15:00:00	1.13131	1.13201	1.13030	1.13119	5772	0	1
2022.01.06	16:00:00	1.13119	1.13316	1.13063	1.13216	7031	0	1
2022.01.06	17:00:00	1.13264	1.13297	1.12930	1.12961	8126	0	1
2022.01.06	18:00:00	1.12960	1.13092	1.12904	1.13069	4501	0	1
2022.01.06	19:00:00	1.13069	1.13091	1.12934	1.12958	2467	0	1
2022.01.06	20:00:00	1.12957	1.12979	1.12881	1.12919	1608	0	1
2022.01.06	21:00:00	1.12919	1.12998	1.12868	1.12870	1470	0	1
2022.01.06	22:00:00	1.12870	1.12943	1.12862	1.12913	1538	0	1
2022.01.06	23:00:00	1.12915	1.12996	1.12870	1.12976	1048	0	1
2022.01.07	00:00:00	1.12960	1.12960	1.12922	1.12937	596	0	17
2022.01.07	01:00:00	1.12937	1.12977	1.12934	1.12947	838	0	6
2022.01.07	02:00:00	1.12952	1.12978	1.12901	1.12958	816	0	1
2022.01.07	03:00:00	1.12959	1.13009	1.12959	1.13006	1052	0	1
2022.01.07	04:00:00	1.13006	1.13017	1.12952	1.12955	915	0	1
2022.01.07	05:00:00	1.12955	1.13017	1.12955	1.12991	551	0	1
2022.01.07	06:00:00	1.12991	1.13034	1.12980	1.13009	475	0	1
2022.01.07	07:00:00	1.13009	1.13034	1.12998	1.13023	586	0	1
2022.01.07	08:00:00	1.13023	1.13034	1.12983	1.12989	714	0	1
2022.01.07	09:00:00	1.12987	1.13059	1.12980	1.13055	1916	0	1
2022.01.07	10:00:00	1.13055	1.13153	1.13014	1.13123	2874	0	1
2022.01.07	11:00:00	1.13121	1.13173	1.13093	1.13149	2275	0	1
2022.01.07	12:00:00	1.13149	1.13192	1.13034	1.13060	1874	0	1
2022.01.07	13:00:00	1.13060	1.13081	1.13009	1.13045	1550	0	1
2022.01.07	14:00:00	1.13045	1.13051	1.12963	1.12975	1799	0	1
2022.01.07	15:00:00	1.12975	1.13226	1.12922	1.13017	8325	0	1
2022.01.07	16:00:00	1.13017	1.13343	1.12990	1.13302	7073	0	1
2022.01.07	17:00:00	1.13302	1.13491	1.13293	1.13468	5920	0	1
2022.01.07	18:00:00	1.13469	1.13571	1.13375	1.13564	3723	0	1
2022.01.07	19:00:00	1.13564	1.13582	1.13494	1.13564	1990	0	1
2022.01.07	20:00:00	1.13560	1.13622	1.13547	1.13574	1269	0	1
2022.01.07	21:00:00	1.13572	1.13647	1.13568	1.13627	1031	0	1
2022.01.07	22:00:00	1.13627	1.13639	1.13573	1.13613	982	0	1
2022.01.07	23:00:00	1.13610	1.13613	1.13580	1.13590	692	0	1
2022.01.10	00:00:00	1.13550	1.13597	1.13524	1.13560	1795	0	10
2022.01.10	01:00:00	1.13560	1.13599	1.13492	1.13532	1216	0	6
2022.01.10	02:00:00	1.13532	1.13579	1.13515	1.13549	818	0	1
2022.01.10	03:00:00	1.13549	1.13563	1.13497	1.13502	706	0	1
2022.01.10	04:00:00	1.13503	1.13520	1.13392	1.13396	809	0	1
2022.01.10	05:00:00	1.13396	1.13397	1.13339	1.13376	617	0	1
2022.01.10	06:00:00	1.13377	1.13408	1.13332	1.13344	486	0	1
2022.01.10	07:00:00	1.13344	1.13355	1.13320	1.13351	411	0	1
2022.01.10	08:00:00	1.13349	1.13354	1.13266	1.13337	896	0	1
2022.01.10	09:00:00	1.13336	1.13364	1.13273	1.13292	2299	0	1
2022.01.10	10:00:00	1.13292	1.13363	1.13206	1.13357	4478	0	1
2022.01.10	11:00:00	1.13357	1.13447	1.13256	1.13261	2647	0	1
2022.01.10	12:00:00	1.13264	1.13344	1.13227	1.13297	2442	0	1
2022.01.10	13:00:00	1.13297	1.13364	1.13223	1.13256	2551	0	1
2022.01.10	14:00:00	1.13256	1.13296	1.13118	1.13165	3187	0	1
2022.01.10	15:00:00	1.13163	1.13243	1.12951	1.12971	4987	0	1
2022.01.10	16:00:00	1.12972	1.12982	1.12853	1.12974	5219	0	1
2022.01.10	17:00:00	1.12974	1.13271	1.12928	1.13185	5690	0	1
2022.01.10	18:00:00	1.13185	1.13288	1.13159	1.13274	3791	0	1
2022.01.10	19:00:00	1.13274	1.13349	1.13273	1.13286	2280	0	1
2022.01.10	20:00:00	1.13284	1.13311	1.13209	1.13222	1951	0	1
2022.01.10	21:00:00	1.13223	1.13269	1.13200	1.13233	1608	0	1
2022.01.10	22:00:00	1.13232	1.13302	1.13222	1.13262	1649	0	1
2022.01.10	23:00:00	1.13262	1.13300	1.13247	1.13252	924	0	1
2022.01.11	00:00:00	1.13230	1.13279	1.13189	1.13246	1061	0	17
2022.01.11	01:00:00	1.13249	1.13322	1.13249	1.13298	443	0	6
2022.01.11	02:00:00	1.13297	1.13346	1.13279	1.13328	832	0	1
2022.01.11	03:00:00	1.13326	1.13415	1.13322	1.13363	1314	0	1
2022.01.11	04:00:00	1.13364	1.13437	1.13346	1.13379	854	0	1
2022.01.11	05:00:00	1.13379	1.13425	1.13369	1.13413	651	0	1
2022.01.11	06:00:00	1.13413	1.13414	1.13375	1.13407	456	0	1
2022.01.11	07:00:00	1.13407	1.13442	1.13383	1.13388	591	0	1
